policy_id,fraud
681822,1
301288,1
212001,1
797680,1
789334,0
275166,1
753093,1
464667,1
663141,1
248351,0
778894,1
644825,1
770514,1
484325,1
925974,0
152491,1
511885,1
782820,1
389475,0
686772,1
940840,1
621475,1
208514,1
928992,1
401273,0
926123,1
430800,1
823727,1
217473,1
205749,0
512081,1
961804,0
839604,1
610885,1
112834,1
426251,1
202252,1
616367,0
770951,1
291826,1
133119,1
127997,1
637024,1
462878,1
327212,1
411477,1
162576,1
140990,0
148183,1
636682,0
654998,1
388619,1
250047,0
293050,1
492128,1
500255,1
179293,1
466711,1
344847,1
666233,1
775687,1
591378,1
220783,1
289448,1
605127,0
439694,1
441937,1
782283,1
678710,0
609317,1
728836,1
957002,1
684323,1
391330,0
985533,1
333029,0
968702,1
654142,1
707117,1
780020,1
661375,1
156253,0
606310,1
381244,0
921868,0
664606,1
841122,1
259695,1
807162,1
155724,1
682848,0
511789,1
378599,1
897134,1
796642,0
543155,1
231021,1
902777,1
233983,1
1017754,1
754547,1
925210,1
168764,1
856942,1
682012,1
299311,1
647869,1
533140,1
649079,1
422274,1
929971,1
520537,1
776572,1
222510,1
172749,1
738704,1
477761,1
161790,0
863960,1
313286,0
541979,1
556332,1
179713,1
645921,1
849384,1
614512,1
807157,1
877608,0
594059,1
895903,1
698071,1
413489,1
171987,1
966581,1
841397,1
217809,0
554565,0
534103,1
716202,1
447728,0
675298,1
111626,1
645695,1
223240,1
578621,1
345467,1
279404,1
287471,0
730486,1
571165,1
576836,1
764272,0
445527,1
900497,1
564461,0
506524,0
903330,1
597895,1
536923,1
149034,1
148435,1
939743,1
477621,1
444707,1
966152,1
663539,1
603174,1
156546,0
658586,1
250832,0
412094,0
965632,1
296010,1
821594,1
320404,0
467978,1
842518,0
780286,1
415298,1
342144,1
395587,1
431471,1
273703,0
346072,1
577233,0
367987,1
480869,1
232367,1
181642,1
185870,1
492891,1
339043,1
788031,1
908334,1
247446,1
487169,1
916113,1
973109,1
374580,1
377829,1
973873,1
400899,0
183643,1
316802,1
282972,1
913765,1
693457,1
980023,1
846995,1
688362,1
250951,1
882850,1
838173,0
480884,0
788520,1
206851,1
434086,1
284278,1
477670,1
857489,1
346339,1
243912,1
109865,1
628167,0
536920,1
912686,1
901268,1
424208,1
261905,1
563720,1
360692,1
206541,1
468086,1
392780,0
176442,1
388910,1
687698,1
463863,1
479010,1
166116,0
949955,1
180644,1
135236,0
754567,1
430975,0
841315,1
639847,1
866870,0
804517,1
274001,0
482029,1
431478,1
276348,1
546758,1
693415,1
235652,1
529472,1
676552,1
437582,1
831513,1
493446,1
593332,1
428847,1
758626,0
942162,0
830611,0
606210,1
502360,1
438012,0
268884,1
693669,1
978322,1
404869,1
628477,1
225347,1
457928,1
1023865,0
351416,1
441909,1
117633,1
887070,0
299199,1
174690,1
815400,1
265475,1
665842,1
889820,1
353959,1
811880,1
573188,1
870334,1
500418,1
186478,1
150112,0
936492,1
663065,0
283767,1
325099,1
465673,1
913900,1
