policy_id,fraud
681822,0.29
301288,0.15
212001,0.14
797680,0.3
789334,0.11
275166,0.25
753093,0.18
464667,0.18
663141,0.32
248351,0.08
778894,0.45
644825,0.23
770514,0.29
484325,0.13
925974,0.05
152491,0.14
511885,0.32
782820,0.22
389475,0.34
686772,0.27
940840,0.4
621475,0.47
208514,0.72
928992,0.24
401273,0.1
926123,0.39
430800,0.38
823727,0.2
217473,0.72
205749,0.07
512081,0.3
961804,0.09
839604,0.34
610885,0.21
112834,0.18
426251,0.26
202252,0.48
616367,0.06
770951,0.18
291826,0.26
133119,0.27
127997,0.22
637024,0.26
462878,0.37
327212,0.37
411477,0.27
162576,0.24
140990,0.22
148183,0.3
636682,0.12
654998,0.46
388619,0.24
250047,0.05
293050,0.09
492128,0.21
500255,0.24
179293,0.11
466711,0.27
344847,0.24
666233,0.33
775687,0.3
591378,0.34
220783,0.32
289448,0.25
605127,0.14
439694,0.29
441937,0.82
782283,0.1
678710,0.07
609317,0.39
728836,0.29
957002,0.26
684323,0.28
391330,0.68
985533,0.07
333029,0.06
968702,0.31
654142,0.1
707117,0.32
780020,0.11
661375,0.13
156253,0.14
606310,0.26
381244,0.15
921868,0.14
664606,0.11
841122,0.37
259695,0.18
807162,0.17
155724,0.19
682848,0.15
511789,0.25
378599,0.32
897134,0.32
796642,0.04
543155,0.23
231021,0.31
902777,0.34
233983,0.11
1017754,0.43
754547,0.3
925210,0.8
168764,0.06
856942,0.04
682012,0.23
299311,0.71
647869,0.13
533140,0.28
649079,0.45
422274,0.3
929971,0.42
520537,0.24
776572,0.31
222510,0.18
172749,0.23
738704,0.31
477761,0.77
161790,0.12
863960,0.32
313286,0.21
541979,0.15
556332,0.28
179713,0.3
645921,0.57
849384,0.55
614512,0.52
807157,0.32
877608,0.12
594059,0.52
895903,0.18
698071,0.18
413489,0.49
171987,0.17
966581,0.13
841397,0.24
217809,0.2
554565,0.18
534103,0.39
716202,0.22
447728,0.09
675298,0.21
111626,0.32
645695,0.3
223240,0.52
578621,0.22
345467,0.25
279404,0.12
287471,0.02
730486,0.47
571165,0.19
576836,0.38
764272,0.27
445527,0.39
900497,0.24
564461,0.05
506524,0.12
903330,0.43
597895,0.28
536923,0.48
149034,0.29
148435,0.11
939743,0.34
477621,0.23
444707,0.38
966152,0.25
663539,0.4
603174,0.15
156546,0.05
658586,0.24
250832,0.33
412094,0.24
965632,0.18
296010,0.29
821594,0.38
320404,0.13
467978,0.35
842518,0.09
780286,0.17
415298,0.3
342144,0.41
395587,0.12
431471,0.25
273703,0.19
346072,0.31
577233,0.1
367987,0.25
480869,0.29
232367,0.31
181642,0.32
185870,0.5
492891,0.24
339043,0.33
788031,0.35
908334,0.33
247446,0.18
487169,0.13
916113,0.25
973109,0.2
374580,0.28
377829,0.8
973873,0.28
400899,0.15
183643,0.63
316802,0.18
282972,0.41
913765,0.24
693457,0.39
980023,0.41
846995,0.21
688362,0.25
250951,0.11
882850,0.22
838173,0.11
480884,0.22
788520,0.4
206851,0.25
434086,0.27
284278,0.18
477670,0.25
857489,0.32
346339,0.31
243912,0.32
109865,0.14
628167,0.05
536920,0.28
912686,0.31
901268,0.06
424208,0.18
261905,0.51
563720,0.33
360692,0.25
206541,0.24
468086,0.11
392780,0.13
176442,0.18
388910,0.56
687698,0.16
463863,0.49
479010,0.24
166116,0.08
949955,0.51
180644,0.29
135236,0.07
754567,0.15
430975,0.07
841315,0.1
639847,0.1
866870,0.15
804517,0.43
274001,0.18
482029,0.22
431478,0.32
276348,0.25
546758,0.38
693415,0.15
235652,0.35
529472,0.26
676552,0.33
437582,0.78
831513,0.18
493446,0.2
593332,0.39
428847,0.2
758626,0.08
942162,0.14
830611,0.21
606210,0.28
502360,0.06
438012,0.09
268884,0.42
693669,0.35
978322,0.28
404869,0.25
628477,0.18
225347,0.32
457928,0.28
1023865,0.13
351416,0.39
441909,0.57
117633,0.27
887070,0.11
299199,0.37
174690,0.3
815400,0.41
265475,0.09
665842,0.14
889820,0.23
353959,0.4
811880,0.15
573188,0.27
870334,0.3
500418,0.26
186478,0.29
150112,0.14
936492,0.27
663065,0.03
283767,0.21
325099,0.16
465673,0.22
913900,0.16
