id,loanAmnt,term,interestRate,installment,grade,subGrade,employmentTitle,employmentLength,homeOwnership,annualIncome,verificationStatus,issueDate,isDefault,purpose,postCode,regionCode,dti,delinquency_2years,ficoRangeLow,ficoRangeHigh,openAcc,pubRec,pubRecBankruptcies,revolBal,revolUtil,totalAcc,initialListStatus,applicationType,earliesCreditLine,title,policyCode,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14
350549,40000.0,5,14.08,932.39,C,C3,363709.0,10+ years,2,100000.0,1,2017-12-01,1,0,156.0,18,15.9,0.0,675.0,679.0,10.0,0.0,0.0,70548.0,43.5,25.0,0,0,Oct-2007,0.0,1.0,0.0,8.0,9.0,9.0,8.0,13.0,6.0,9.0,16.0,9.0,10.0,0.0,0.0,0.0,3.0
449599,3500.0,3,11.49,115.4,B,B5,6347.0,< 1 year,1,24000.0,1,2016-08-01,0,0,386.0,19,13.2,0.0,695.0,699.0,5.0,0.0,0.0,2703.0,57.5,5.0,1,0,Aug-2010,0.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,5.0,0.0,0.0,0.0,1.0
668557,32000.0,3,9.75,1028.8,B,B3,59294.0,1 year,1,110000.0,1,2016-02-01,0,0,51.0,13,19.95,0.0,700.0,704.0,17.0,0.0,0.0,10208.0,23.0,29.0,0,0,Nov-2004,0.0,1.0,2.0,5.0,7.0,7.0,10.0,20.0,4.0,13.0,25.0,7.0,17.0,0.0,0.0,0.0,1.0
655185,8625.0,3,15.61,301.58,D,D1,13419.0,2 years,1,24000.0,0,2015-07-01,0,0,132.0,12,22.15,0.0,695.0,699.0,12.0,0.0,0.0,4089.0,62.0,22.0,0,0,Nov-1999,0.0,1.0,1.0,2.0,4.0,4.0,5.0,10.0,8.0,9.0,14.0,4.0,12.0,0.0,0.0,0.0,1.0
655066,22400.0,5,13.33,513.47,C,C3,77169.0,4 years,0,110000.0,1,2015-05-01,0,0,176.0,3,17.35,0.0,675.0,679.0,12.0,0.0,0.0,19608.0,64.7,37.0,0,0,Jul-2004,0.0,1.0,0.0,2.0,4.0,4.0,4.0,5.0,20.0,7.0,10.0,4.0,12.0,0.0,0.0,0.0,5.0
691819,9350.0,3,9.44,299.25,B,B1,693.0,< 1 year,1,26000.0,1,2017-05-01,1,0,31.0,2,11.79,0.0,720.0,724.0,9.0,0.0,0.0,10396.0,20.4,17.0,1,0,Oct-2011,0.0,1.0,0.0,7.0,7.0,7.0,7.0,11.0,3.0,9.0,14.0,7.0,9.0,0.0,0.0,0.0,1.0
678202,8800.0,3,11.47,290.07,B,B5,307.0,10+ years,0,55000.0,1,2016-02-01,0,3,33.0,22,15.69,0.0,690.0,694.0,7.0,0.0,0.0,3700.0,28.2,18.0,0,0,Aug-2002,2.0,1.0,2.0,1.0,2.0,2.0,2.0,5.0,4.0,5.0,11.0,2.0,7.0,0.0,0.0,0.0,4.0
748830,35000.0,5,15.61,843.9,D,D1,184.0,7 years,2,239000.0,1,2014-08-01,0,2,77.0,7,6.07,0.0,720.0,724.0,13.0,0.0,0.0,47506.0,32.1,29.0,0,0,Apr-1999,5.0,1.0,0.0,5.0,5.0,5.0,10.0,13.0,5.0,12.0,20.0,5.0,13.0,0.0,0.0,0.0,1.0
237415,25000.0,5,30.17,811.45,F,F3,54.0,NA,0,71000.0,2,2017-07-01,1,0,324.0,10,32.29,0.0,675.0,679.0,19.0,0.0,0.0,26568.0,51.0,29.0,0,0,Apr-2007,0.0,1.0,0.0,5.0,15.0,15.0,8.0,8.0,10.0,15.0,18.0,13.0,19.0,NA,0.0,0.0,11.0
390693,20000.0,5,12.29,447.83,C,C1,1238.0,10+ years,0,60000.0,0,2015-07-01,1,0,35.0,14,15.74,0.0,710.0,714.0,8.0,1.0,1.0,11762.0,31.7,16.0,0,0,Dec-1967,0.0,1.0,0.0,4.0,4.0,4.0,5.0,5.0,8.0,7.0,8.0,4.0,8.0,0.0,0.0,0.0,3.0
231213,19000.0,3,9.71,610.5,B,B1,274963.0,< 1 year,0,80000.0,2,2013-08-01,0,0,476.0,5,6.29,0.0,675.0,679.0,10.0,1.0,0.0,15229.0,46.9,30.0,0,0,Aug-1998,903.0,1.0,1.0,3.0,5.0,5.0,5.0,9.0,7.0,8.0,17.0,5.0,10.0,0.0,0.0,0.0,0.0
276531,14050.0,3,17.57,504.92,D,D4,97206.0,10+ years,1,40000.0,0,2015-02-01,0,0,318.0,14,18.03,0.0,670.0,674.0,11.0,0.0,0.0,11108.0,34.4,29.0,1,0,Nov-2001,0.0,1.0,0.0,4.0,9.0,9.0,6.0,8.0,15.0,11.0,13.0,9.0,11.0,0.0,0.0,0.0,4.0
500311,12000.0,3,7.62,373.94,A,A3,87.0,5 years,0,52000.0,0,2014-03-01,0,0,330.0,21,4.92,0.0,760.0,764.0,8.0,0.0,0.0,7108.0,15.1,26.0,1,0,Nov-1985,0.0,1.0,0.0,1.0,3.0,3.0,2.0,9.0,4.0,7.0,17.0,3.0,8.0,0.0,0.0,0.0,1.0
710397,14250.0,3,15.61,498.25,D,D1,63378.0,10+ years,0,37500.0,2,2015-07-01,0,4,217.0,22,13.51,1.0,725.0,729.0,8.0,0.0,0.0,1167.0,2.5,16.0,0,0,Jul-1989,4.0,1.0,0.0,4.0,4.0,4.0,6.0,11.0,2.0,8.0,14.0,4.0,8.0,0.0,0.0,0.0,5.0
315357,4000.0,3,11.44,131.79,B,B4,55.0,10+ years,1,91992.0,1,2016-11-01,0,9,277.0,8,9.54,0.0,660.0,664.0,9.0,2.0,0.0,11064.0,47.7,10.0,0,0,Jun-2008,10.0,1.0,0.0,4.0,6.0,6.0,5.0,5.0,1.0,8.0,9.0,6.0,9.0,0.0,0.0,0.0,1.0
769825,18000.0,5,8.18,366.53,B,B1,23774.0,6 years,0,50000.0,0,2015-11-01,0,2,108.0,21,12.48,0.0,755.0,759.0,17.0,0.0,0.0,260.0,1.1,24.0,0,0,Sep-1978,5.0,1.0,0.0,2.0,2.0,2.0,10.0,10.0,4.0,14.0,18.0,2.0,17.0,0.0,0.0,0.0,2.0
173688,20000.0,5,13.49,436.52,C,C2,228097.0,6 years,0,94000.0,2,2011-07-01,0,2,240.0,21,22.85,0.0,710.0,714.0,13.0,0.0,0.0,9564.0,83.2,44.0,1,0,Nov-1998,6338.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
605204,6000.0,3,10.75,195.73,B,B4,151.0,4 years,1,91000.0,1,2016-03-01,0,0,599.0,13,7.35,0.0,675.0,679.0,5.0,0.0,0.0,5512.0,87.5,10.0,0,0,Jan-2006,0.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,7.0,2.0,5.0,0.0,0.0,0.0,2.0
200310,25000.0,5,12.69,564.87,C,C2,307.0,10+ years,1,65000.0,1,2015-04-01,0,4,61.0,31,17.36,0.0,705.0,709.0,12.0,0.0,0.0,28511.0,45.3,23.0,0,0,Nov-1997,4.0,1.0,0.0,4.0,5.0,5.0,7.0,11.0,7.0,11.0,16.0,5.0,12.0,0.0,0.0,0.0,1.0
535932,30000.0,3,9.25,957.49,A,A5,262981.0,8 years,0,78133.32,2,2013-10-01,0,0,498.0,32,15.82,0.0,790.0,794.0,15.0,0.0,0.0,31102.0,21.0,34.0,1,0,Nov-1987,38.0,1.0,0.0,2.0,5.0,5.0,5.0,17.0,3.0,13.0,26.0,5.0,15.0,0.0,0.0,0.0,2.0
34514,8400.0,3,9.17,267.79,B,B1,838.0,5 years,0,45000.0,0,2014-10-01,0,0,484.0,21,15.23,2.0,685.0,689.0,38.0,0.0,0.0,3611.0,48.8,42.0,0,0,Sep-2003,0.0,1.0,0.0,1.0,4.0,4.0,1.0,2.0,33.0,6.0,8.0,4.0,38.0,0.0,0.0,0.0,2.0
797392,24000.0,5,7.26,478.18,A,A4,73905.0,10+ years,1,107625.0,1,2015-06-01,0,4,48.0,10,13.63,0.0,715.0,719.0,15.0,0.0,0.0,33515.0,31.9,29.0,0,0,May-1997,4.0,1.0,0.0,8.0,11.0,11.0,8.0,12.0,6.0,14.0,21.0,11.0,15.0,0.0,0.0,0.0,2.0
73894,10000.0,3,12.99,336.9,B,B5,166824.0,< 1 year,2,28000.0,0,2014-02-01,0,0,219.0,21,18.13,0.0,675.0,679.0,14.0,1.0,1.0,10137.0,49.0,17.0,1,0,Jul-1991,0.0,1.0,0.0,3.0,7.0,7.0,3.0,3.0,2.0,14.0,15.0,7.0,14.0,0.0,0.0,0.0,2.0
344477,14100.0,3,18.06,510.18,D,D2,18509.0,5 years,1,37000.0,2,2017-10-01,0,0,5.0,4,24.39,0.0,690.0,694.0,9.0,1.0,1.0,9682.0,62.5,14.0,0,0,Dec-2003,0.0,1.0,0.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,8.0,6.0,9.0,0.0,0.0,0.0,1.0
678786,12500.0,3,17.99,451.85,D,D2,144.0,< 1 year,0,25000.0,1,2016-12-01,0,2,153.0,11,15.89,1.0,715.0,719.0,26.0,0.0,0.0,459.0,2.0,36.0,1,0,Oct-1995,5.0,1.0,2.0,1.0,1.0,1.0,7.0,11.0,15.0,14.0,21.0,1.0,26.0,0.0,0.0,0.0,4.0
