policy_id,fraud
681822,0.29
301288,0.09
212001,0.13
797680,0.23
789334,0.13
275166,0.34
753093,0.25
464667,0.08
663141,0.27
248351,0.05
778894,0.39
644825,0.17
770514,0.25
484325,0.17
925974,0.16
152491,0.21
511885,0.26
782820,0.18
389475,0.43
686772,0.19
940840,0.25
621475,0.38
208514,0.71
928992,0.27
401273,0.12
926123,0.33
430800,0.3
823727,0.26
217473,0.72
205749,0.06
512081,0.3
961804,0.09
839604,0.36
610885,0.25
112834,0.16
426251,0.22
202252,0.38
616367,0.12
770951,0.33
291826,0.35
133119,0.21
127997,0.21
637024,0.26
462878,0.23
327212,0.46
411477,0.3
162576,0.35
140990,0.21
148183,0.2
636682,0.08
654998,0.39
388619,0.29
250047,0.04
293050,0.19
492128,0.21
500255,0.27
179293,0.16
466711,0.34
344847,0.2
666233,0.33
775687,0.36
591378,0.32
220783,0.38
289448,0.22
605127,0.09
439694,0.31
441937,0.81
782283,0.18
678710,0.08
609317,0.38
728836,0.34
957002,0.25
684323,0.23
391330,0.67
985533,0.09
333029,0.06
968702,0.3
654142,0.12
707117,0.34
780020,0.12
661375,0.16
156253,0.26
606310,0.24
381244,0.21
921868,0.15
664606,0.13
841122,0.28
259695,0.3
807162,0.17
155724,0.17
682848,0.1
511789,0.29
378599,0.39
897134,0.31
796642,0.08
543155,0.26
231021,0.24
902777,0.34
233983,0.22
1017754,0.3
754547,0.25
925210,0.76
168764,0.11
856942,0.04
682012,0.11
299311,0.7
647869,0.07
533140,0.29
649079,0.42
422274,0.32
929971,0.39
520537,0.31
776572,0.27
222510,0.13
172749,0.18
738704,0.31
477761,0.79
161790,0.15
863960,0.37
313286,0.22
541979,0.3
556332,0.3
179713,0.33
645921,0.55
849384,0.53
614512,0.43
807157,0.33
877608,0.14
594059,0.62
895903,0.21
698071,0.16
413489,0.43
171987,0.2
966581,0.23
841397,0.26
217809,0.13
554565,0.11
534103,0.27
716202,0.16
447728,0.02
675298,0.16
111626,0.27
645695,0.31
223240,0.57
578621,0.23
345467,0.22
279404,0.19
287471,0.07
730486,0.42
571165,0.19
576836,0.37
764272,0.34
445527,0.48
900497,0.25
564461,0.11
506524,0.14
903330,0.33
597895,0.24
536923,0.35
149034,0.25
148435,0.11
939743,0.35
477621,0.12
444707,0.38
966152,0.14
663539,0.39
603174,0.27
156546,0.11
658586,0.31
250832,0.28
412094,0.27
965632,0.32
296010,0.19
821594,0.46
320404,0.09
467978,0.39
842518,0.14
780286,0.23
415298,0.31
342144,0.39
395587,0.09
431471,0.2
273703,0.16
346072,0.24
577233,0.07
367987,0.2
480869,0.25
232367,0.26
181642,0.3
185870,0.45
492891,0.29
339043,0.39
788031,0.4
908334,0.22
247446,0.22
487169,0.14
916113,0.2
973109,0.08
374580,0.35
377829,0.76
973873,0.23
400899,0.17
183643,0.72
316802,0.23
282972,0.37
913765,0.3
693457,0.37
980023,0.42
846995,0.26
688362,0.28
250951,0.17
882850,0.25
838173,0.17
480884,0.14
788520,0.39
206851,0.23
434086,0.1
284278,0.12
477670,0.31
857489,0.28
346339,0.41
243912,0.41
109865,0.2
628167,0.12
536920,0.12
912686,0.28
901268,0.08
424208,0.13
261905,0.49
563720,0.27
360692,0.14
206541,0.26
468086,0.16
392780,0.26
176442,0.26
388910,0.56
687698,0.23
463863,0.42
479010,0.26
166116,0.1
949955,0.49
180644,0.26
135236,0.04
754567,0.17
430975,0.04
841315,0.14
639847,0.13
866870,0.24
804517,0.4
274001,0.21
482029,0.18
431478,0.26
276348,0.31
546758,0.58
693415,0.16
235652,0.25
529472,0.32
676552,0.28
437582,0.7
831513,0.26
493446,0.23
593332,0.28
428847,0.23
758626,0.08
942162,0.09
830611,0.2
606210,0.31
502360,0.05
438012,0.07
268884,0.28
693669,0.4
978322,0.34
404869,0.27
628477,0.15
225347,0.33
457928,0.19
1023865,0.14
351416,0.3
441909,0.54
117633,0.16
887070,0.12
299199,0.31
174690,0.28
815400,0.44
265475,0.07
665842,0.17
889820,0.19
353959,0.33
811880,0.14
573188,0.36
870334,0.36
500418,0.33
186478,0.22
150112,0.15
936492,0.37
663065,0.09
283767,0.22
325099,0.13
465673,0.16
913900,0.14
