policy_id,fraud
681822,0.18
301288,0.08
212001,0.17
797680,0.27
789334,0.11
275166,0.22
753093,0.26
464667,0.14
663141,0.33
248351,0.06
778894,0.37
644825,0.22
770514,0.25
484325,0.12
925974,0.11
152491,0.14
511885,0.32
782820,0.2
389475,0.45
686772,0.2
940840,0.4
621475,0.38
208514,0.67
928992,0.31
401273,0.03
926123,0.34
430800,0.32
823727,0.33
217473,0.77
205749,0.11
512081,0.35
961804,0.12
839604,0.36
610885,0.18
112834,0.22
426251,0.24
202252,0.41
616367,0.16
770951,0.3
291826,0.3
133119,0.29
127997,0.28
637024,0.26
462878,0.28
327212,0.37
411477,0.27
162576,0.25
140990,0.22
148183,0.19
636682,0.07
654998,0.4
388619,0.26
250047,0.05
293050,0.2
492128,0.17
500255,0.2
179293,0.15
466711,0.39
344847,0.15
666233,0.26
775687,0.22
591378,0.29
220783,0.37
289448,0.29
605127,0.09
439694,0.34
441937,0.85
782283,0.15
678710,0.16
609317,0.34
728836,0.29
957002,0.25
684323,0.38
391330,0.68
985533,0.06
333029,0.11
968702,0.3
654142,0.15
707117,0.36
780020,0.11
661375,0.14
156253,0.2
606310,0.26
381244,0.2
921868,0.18
664606,0.18
841122,0.28
259695,0.26
807162,0.15
155724,0.23
682848,0.12
511789,0.24
378599,0.45
897134,0.41
796642,0.0
543155,0.31
231021,0.25
902777,0.29
233983,0.12
1017754,0.3
754547,0.27
925210,0.77
168764,0.07
856942,0.05
682012,0.13
299311,0.77
647869,0.05
533140,0.28
649079,0.47
422274,0.3
929971,0.34
520537,0.2
776572,0.23
222510,0.18
172749,0.3
738704,0.34
477761,0.87
161790,0.13
863960,0.25
313286,0.22
541979,0.18
556332,0.26
179713,0.32
645921,0.64
849384,0.5
614512,0.39
807157,0.32
877608,0.13
594059,0.56
895903,0.21
698071,0.19
413489,0.41
171987,0.15
966581,0.22
841397,0.29
217809,0.18
554565,0.14
534103,0.37
716202,0.11
447728,0.1
675298,0.16
111626,0.3
645695,0.34
223240,0.56
578621,0.15
345467,0.23
279404,0.12
287471,0.06
730486,0.4
571165,0.14
576836,0.42
764272,0.36
445527,0.35
900497,0.26
564461,0.05
506524,0.11
903330,0.36
597895,0.2
536923,0.3
149034,0.33
148435,0.12
939743,0.3
477621,0.18
444707,0.39
966152,0.2
663539,0.3
603174,0.27
156546,0.12
658586,0.28
250832,0.31
412094,0.18
965632,0.28
296010,0.2
821594,0.47
320404,0.14
467978,0.48
842518,0.05
780286,0.17
415298,0.26
342144,0.27
395587,0.12
431471,0.18
273703,0.14
346072,0.28
577233,0.07
367987,0.23
480869,0.27
232367,0.3
181642,0.29
185870,0.44
492891,0.3
339043,0.27
788031,0.41
908334,0.27
247446,0.32
487169,0.14
916113,0.22
973109,0.12
374580,0.25
377829,0.85
973873,0.25
400899,0.07
183643,0.7
316802,0.22
282972,0.47
913765,0.24
693457,0.33
980023,0.45
846995,0.2
688362,0.36
250951,0.15
882850,0.26
838173,0.14
480884,0.13
788520,0.47
206851,0.16
434086,0.2
284278,0.22
477670,0.32
857489,0.2
346339,0.33
243912,0.38
109865,0.14
628167,0.07
536920,0.2
912686,0.3
901268,0.08
424208,0.24
261905,0.54
563720,0.33
360692,0.14
206541,0.19
468086,0.13
392780,0.12
176442,0.18
388910,0.63
687698,0.17
463863,0.32
479010,0.24
166116,0.09
949955,0.51
180644,0.27
135236,0.1
754567,0.21
430975,0.09
841315,0.09
639847,0.1
866870,0.26
804517,0.36
274001,0.16
482029,0.23
431478,0.28
276348,0.31
546758,0.46
693415,0.13
235652,0.31
529472,0.3
676552,0.28
437582,0.72
831513,0.21
493446,0.21
593332,0.3
428847,0.27
758626,0.07
942162,0.12
830611,0.21
606210,0.26
502360,0.08
438012,0.11
268884,0.32
693669,0.23
978322,0.28
404869,0.31
628477,0.28
225347,0.28
457928,0.22
1023865,0.2
351416,0.39
441909,0.59
117633,0.26
887070,0.2
299199,0.36
174690,0.26
815400,0.4
265475,0.03
665842,0.11
889820,0.24
353959,0.31
811880,0.11
573188,0.3
870334,0.34
500418,0.31
186478,0.27
150112,0.15
936492,0.34
663065,0.07
283767,0.25
325099,0.14
465673,0.19
913900,0.16
